2026-05-07T14:49:36.876845+00:00 | INFO | node-001 | engine | engine started
2026-05-07T14:49:50.262031+00:00 | INFO | node-001 | physical_dht_client | no initial session for publish, trying local responsibility path | key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50
2026-05-07T14:49:50.292264+00:00 | INFO | node-001 | physical_dht_client | stored dht record locally via publish fallback | key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50
2026-05-07T14:49:50.295685+00:00 | INFO | node-001 | dht_maintenance_runtime | finished dht record maintenance publish | key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50 namespace=dpnt logical_key=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c status=stored
2026-05-07T14:49:51.316288+00:00 | DEBUG | node-001 | dht_maintenance_runtime | validating local dht fragment | key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50 namespace=dpnt logical_key=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c fragment_id=3
2026-05-07T14:49:51.340253+00:00 | INFO | node-001 | dht_maintenance_runtime | validated and merged local dht fragment | key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50 namespace=dpnt logical_key=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c created_parent=2
2026-05-07T14:49:51.360786+00:00 | DEBUG | node-001 | dht_maintenance_runtime | publishing validated dht record to responsible nodes | key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50 namespace=dpnt logical_key=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c
2026-05-07T14:49:51.362517+00:00 | INFO | node-001 | physical_dht_client | starting dht publish | namespace=dpnt logical_key=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50
2026-05-07T14:49:51.374212+00:00 | INFO | node-001 | physical_dht_client | no initial session for publish, trying local responsibility path | key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50
2026-05-07T14:49:51.395232+00:00 | INFO | node-001 | physical_dht_client | stored dht record locally via publish fallback | key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50
2026-05-07T14:49:51.397886+00:00 | INFO | node-001 | dht_maintenance_runtime | finished dht record maintenance publish | key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50 namespace=dpnt logical_key=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c status=stored
2026-05-07T14:49:51.415045+00:00 | DEBUG | node-001 | physical_ping | received ping and sending pong | nonce=7f7baaba-3b43-449c-9743-5f93943bf39f remote_host=172.18.0.3 remote_port=53570
2026-05-07T14:49:52.411934+00:00 | DEBUG | node-001 | dht_maintenance_runtime | validating local dht fragment | key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50 namespace=dpnt logical_key=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c fragment_id=3
2026-05-07T14:49:52.433616+00:00 | INFO | node-001 | dht_maintenance_runtime | validated and merged local dht fragment | key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50 namespace=dpnt logical_key=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c created_parent=2
2026-05-07T14:49:52.463564+00:00 | DEBUG | node-001 | dht_maintenance_runtime | publishing validated dht record to responsible nodes | key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50 namespace=dpnt logical_key=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c
2026-05-07T14:49:52.465746+00:00 | INFO | node-001 | physical_dht_client | starting dht publish | namespace=dpnt logical_key=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50
2026-05-07T14:49:52.477235+00:00 | INFO | node-001 | physical_dht_client | no initial session for publish, trying local responsibility path | key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50
2026-05-07T14:49:52.499738+00:00 | INFO | node-001 | physical_dht_client | stored dht record locally via publish fallback | key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50
2026-05-07T14:49:52.501817+00:00 | INFO | node-001 | dht_maintenance_runtime | finished dht record maintenance publish | key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50 namespace=dpnt logical_key=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c status=stored
2026-05-07T14:49:53.512691+00:00 | DEBUG | node-001 | dht_maintenance_runtime | validating local dht fragment | key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50 namespace=dpnt logical_key=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c fragment_id=3
2026-05-07T14:49:53.526512+00:00 | INFO | node-001 | dht_maintenance_runtime | validated and merged local dht fragment | key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50 namespace=dpnt logical_key=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c created_parent=2
2026-05-07T14:49:53.544872+00:00 | DEBUG | node-001 | dht_maintenance_runtime | publishing validated dht record to responsible nodes | key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50 namespace=dpnt logical_key=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c
2026-05-07T14:49:53.546680+00:00 | INFO | node-001 | physical_dht_client | starting dht publish | namespace=dpnt logical_key=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50
2026-05-07T14:49:53.557588+00:00 | INFO | node-001 | physical_dht_client | no initial session for publish, trying local responsibility path | key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50
2026-05-07T14:49:53.577419+00:00 | INFO | node-001 | physical_dht_client | stored dht record locally via publish fallback | key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50
2026-05-07T14:49:53.579293+00:00 | INFO | node-001 | dht_maintenance_runtime | finished dht record maintenance publish | key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50 namespace=dpnt logical_key=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c status=stored
